Mod:Item:MetaData, Localized Name
erebus:jade_berry_bush, Jadeberry Bush
erebus:heart_berry_bush, Heartberry Bush
erebus:swamp_berry_bush, Swampberry Bush
erebus:dark_fruit_vine, Dark Fruit Vine
erebus:prickly_pear, Prickly Pear Cactus
erebus:giant_flower:0, Black Petal Block
erebus:giant_flower:1, Red Petal Block
erebus:giant_flower:2, Brown Petal Block
erebus:giant_flower:3, Blue Petal Block
erebus:giant_flower:4, Purple Petal Block
erebus:giant_flower:5, Cyan Petal Block
erebus:giant_flower:6, Light Gray Petal Block
erebus:giant_flower:7, Gray Petal Block
erebus:giant_flower:8, Pink Petal Block
erebus:giant_flower:9, Yellow Petal Block
erebus:giant_flower:10, Light Blue Petal Block
erebus:giant_flower:11, Magenta Petal Block
erebus:giant_flower:12, Orange Petal Block
erebus:giant_flower:13, White Petal Block
erebus:giant_flower:14, Exploding Stigma
erebus:giant_flower:15, Stem
erebus:giant_flower_stigma:0, Black Stigma
erebus:giant_flower_stigma:1, Red Stigma
erebus:giant_flower_stigma:2, Brown Stigma
erebus:giant_flower_stigma:3, Blue Stigma
erebus:giant_flower_stigma:4, Purple Stigma
erebus:giant_flower_stigma:5, Cyan Stigma
erebus:giant_flower_stigma:6, Light Gray Stigma
erebus:giant_flower_stigma:7, Gray Stigma
erebus:giant_flower_stigma:8, Pink Stigma
erebus:giant_flower_stigma:9, Yellow Stigma
erebus:giant_flower_stigma:10, Light Blue Stigma
erebus:giant_flower_stigma:11, Magenta Stigma
erebus:giant_flower_stigma:12, Orange Stigma
erebus:giant_flower_stigma:13, White Stigma
erebus:giant_flower_stigma:14, Rainbow Stigma
erebus:planted_flower:0, Black Flower
erebus:planted_flower:1, Red Flower
erebus:planted_flower:2, Brown Flower
erebus:planted_flower:3, Blue Flower
erebus:planted_flower:4, Purple Flower
erebus:planted_flower:5, Cyan Flower
erebus:planted_flower:6, Light Gray Flower
erebus:planted_flower:7, Gray Flower
erebus:planted_flower:8, Pink Flower
erebus:planted_flower:9, Yellow Flower
erebus:planted_flower:10, Light Blue Flower
erebus:planted_flower:11, Magenta Flower
erebus:planted_flower:12, Orange Flower
erebus:planted_flower:13, White Flower
erebus:planted_flower:14, Rainbow Flower
erebus:small_plant:0, Nettle
erebus:small_plant:1, Blooming Nettle
erebus:small_plant:2, Swamp Plant
erebus:small_plant:3, Desert Shrub
erebus:small_plant:4, Firebloom
erebus:small_plant:5, Fiddlehead
erebus:small_plant:6, Fern
erebus:thorns, Thorns
erebus:hanging_web, Hanging Webs
erebus:double_plant:0, Bullrush
erebus:double_plant:1, Weeping Bluebell
erebus:double_plant:2, Sundew
erebus:double_plant:3, Droughted Shrub
erebus:double_plant:4, Tall Bloom
erebus:double_plant:5, Tangled Stalk Mushroom
erebus:double_plant:6, High Capped Mushroom
erebus:wall_plants:1, Moss
erebus:wall_plants:7, Mould
erebus:wall_plants_cultivated:1, Cultivated Moss
erebus:wall_plants_cultivated:7, Cultivated Mould
erebus:algae, Swamp Algae
erebus:honey_treat, Honey Treat
erebus:dark_capped_mushroom, Dark Capped Mushroom
erebus:sarcastic_czech_mushroom, Sarcastic Czech Mushroom
erebus:grandmas_shoes_mushroom, Grandma's Shoes Mushroom
erebus:dutch_cap_mushroom, Dutch Cap Mushroom
erebus:kaizers_fingers_mushroom, Kaizer's Fingers Mushroom
erebus:dark_capped_mushroom_block, Dark Capped Mushroom Block
erebus:sarcastic_czech_mushroom_block, Sarcastic Czech Mushroom Block
erebus:grandmas_shoes_mushroom_block, Grandma's Shoes Mushroom Block
erebus:dutch_cap_mushroom_block, Dutch Cap Mushroom Block
erebus:kaizers_fingers_mushroom_block, Kaizer's Fingers Mushroom Block
erebus:glowshroom, Glowshroom
erebus:glowshroom_stalk_main, Glowshroom Stalk
erebus:wither_web, Wither Web
erebus:silk, Silk
erebus:mir_brick, Mir Brick
erebus:planks_petrified_wood, Petrified Wood Planks
erebus:door_petrified_wood, Petrified Wood Door
erebus:rein_exo, Reinforced Exo Blocks
erebus:mud_brick, Mud Brick
erebus:temple_brick, Temple Brick
erebus:temple_pillar, Temple Pillar
erebus:temple_tile, Temple Tile
erebus:volcanic_rock, Volcanic Rock
erebus:gneiss:0, Gneiss
erebus:gneiss:1, Carved Gneiss
erebus:gneiss:2, Layered Gneiss
erebus:gneiss:3, Gneiss Brick
erebus:gneiss:4, Smooth Gneiss
erebus:gneiss:5, Gneiss Tiles
erebus:gneiss:6, Cracked Gneiss Tiles
erebus:gneiss_vent, Gneiss Vent
erebus:hollow_log, Hollow Acacia Log
erebus:log_balsam_resinless, Balsam Wood Resinless
erebus:umber_furnace, Umber Furnace
erebus:umber_furnace_active, Umber Furnace
erebus:petrified_crafting_table, Petrified Crafting Table
erebus:bamboo_crate, Bamboo Crate
erebus:bamboo_bridge, Bamboo Bridge
erebus:bamboo_ladder, Bamboo Ladder
erebus:bamboo_nerd_pole, Bamboo Nerd Pole
erebus:bamboo_extender, Bamboo Extender
erebus:bamboo_torch, Bamboo Torch
erebus:silo_roof, Silo Roof
erebus:silo_tank:0, Silo Tank
erebus:silo_supports, Silo Supports
erebus:honey_comb, Honeycomb
erebus:umber_golem_statue, Umbergolem Statue
erebus:insect_repellent, Insect Repellent
erebus:petrified_wood_chest, Petrified Wood Chest
erebus:glowing_jar, Glowing Jar
erebus:fluid_jar, Fluid Jar
erebus:composter, Organic Composter
erebus:smoothie_maker, ErebusCo. Smoothie-matic 2000
erebus:umberstone_button, Umberstone Button
erebus:bamboo_pipe, Bamboo Fluid Pipe
erebus:bamboo_pipe_extract, Bamboo Fluid Extraction Pipe
erebus:bamboo_pipe_extract_active, Bamboo Fluid Extraction Pipe
erebus:liquifier, Honey Liquifier
erebus:glow_gem_active, Glowing Gem
erebus:glow_gem_inactive, Glowing Gem
erebus:mucus_bomb, Mucus Bomb
erebus:velocity_block, Velocity Block
erebus:lightning_speed_block, Lightning Velocity Block
erebus:altar_base, Altar Base
erebus:altar_lightning, Altar of Lightning
erebus:altar_healing, Altar of Healing
erebus:altar_xp, Altar of Experience
erebus:altar_repair, Altar of Repair
erebus:altar_offering, Offering Altar
erebus:spider_spawner, Scytodes Spawner
erebus:jumping_spider_spawner, Jumping Spider Spawner
erebus:tarantula_spawner, Tarantula Spawner
erebus:wasp_spawner, Wasp Spawner
erebus:antlion_spawner, Antlion Spawner
erebus:dragon_fly_spawner, Dragon Fly Spawner
erebus:giant_lily_pad, Giant Lily Pad
erebus:zombie_ant_spawner, Zombie Ant Spawner
erebus:zombie_ant_soldier_spawner, Zombie Ant Soldier Spawner
erebus:wasp_nest, Wasp Nest
erebus:stairs_wasp_nest, Wasp Nest Stairs
erebus:antlion_egg, Antlion Egg
erebus:tarantula_egg, Tarantula Egg
erebus:capstone:0, Capstone
erebus:capstone:1, Mud Capstone
erebus:capstone:2, Iron Capstone
erebus:capstone:3, Gold Capstone
erebus:capstone:4, Jade Capstone
erebus:capstone:5, Mud Capstone Active
erebus:capstone:6, Iron Capstone Active
erebus:capstone:7, Gold Capstone Active
erebus:capstone:8, Jade Capstone Active
erebus:ant_hill_block, Ant Hill (N.Y.I.)
erebus:force_field, Force Field
erebus:force_lock, Force Lock (N.Y.I.)
erebus:block_of_bones, Block O' Bones
erebus:magma_crawler_spawner, Magma Crawler Spawner
erebus:dung_spawner_bot_fly, Bot Fly Spawner
erebus:dung_spawner_fly, Fly Spawner
erebus:locust_spawner, Locust Spawner
erebus:wall_umberstone, Umberstone Wall
erebus:wall_umbercobble, Umbercobble Wall
erebus:wall_umbercobble_mossy, Mossy Umbercobble Wall
erebus:wall_umbercobble_webbed, Webbed Umbercobble Wall
erebus:wall_umberstone_bricks, Umbrick Wall
erebus:wall_umbertile_smooth, Umbertile Wall
erebus:wall_umbertile_smooth_small, Small Umbertile  Wall
erebus:wall_umberpaver, Umberpaver Wall
erebus:wall_umberpaver_mossy, Mossy Umberpaver Wall
erebus:wall_umberpaver_webbed, Webbed Umberpaver Wall
erebus:wall_amber, Amber Wall
erebus:wall_amber_bricks, Amber Brick Wall
erebus:slab_umberstone, Umberstone Slab
erebus:slab_umbercobble, Umbercobble Slab
erebus:slab_umbercobble_mossy, Mossy Umbercobble Slab
erebus:slab_umbercobble_webbed, Webbed Umbercobble Slab
erebus:slab_umberstone_bricks, Umberstone Brick Slab
erebus:slab_umbertile_smooth, Smooth Umbertile Slab
erebus:slab_umbertile_smooth_small, Small Smooth Umbertile Slab
erebus:slab_umberpaver, Umberpaver Slab
erebus:slab_umberpaver_mossy, Mossy Umberpaver Slab
erebus:slab_umberpaver_webbed, Webbed Umberpaver Slab
erebus:slab_amber, Amber Slab
erebus:slab_amber_bricks, Amber Brick Slab
erebus:slab_planks_petrified_wood, Petrified Wood Slab
erebus:slab_mud_bricks, Mud Brick Slab
erebus:slab_mir_bricks, Mir Brick Slab
erebus:stairs_umberstone, Umberstone Stairs
erebus:stairs_umbercobble, Umbercobble Stairs
erebus:stairs_umbercobble_mossy, Mossy Umbercobble Stairs
erebus:stairs_umbercobble_webbed, Webbed Umbercobble Stairs
erebus:stairs_umberstone_bricks, Umberstone Brick Stairs
erebus:stairs_umbertile_smooth, Smooth Umbertile Stairs
erebus:stairs_umbertile_smooth_small, Small Smooth Umbertile Stairs
erebus:stairs_umberpaver, Umberpaver Stairs
erebus:stairs_umberpaver_mossy, Mossy Umberpaver Stairs
erebus:stairs_umberpaver_webbed, Webbed Umberpaver Stairs
erebus:stairs_amber, Amber Stairs
erebus:stairs_amber_bricks, Amber Brick Stairs
erebus:stairs_petrified_wood, Petrified Wood Stairs
erebus:stairs_mud_bricks, Mud Brick Stairs
erebus:stairs_mir_bricks, Mir Brick Stairs
erebus:formic_acid, Formic Acid
erebus:honey, Honey
erebus:log_baobab, Baobab Wood
erebus:sapling_baobab, Baobab Sapling
erebus:leaves_baobab, Baobab Leaves
erebus:stairs_baobab, Baobab Stairs
erebus:slab_planks_baobab, Baobab Slab
erebus:door_baobab, Baobab Door
erebus:fence_baobab, Baobab Fence
erebus:fence_gate_baobab, Baobab Fence Gate
erebus:log_eucalyptus, Eucalyptus Wood
erebus:sapling_eucalyptus, Eucalyptus Sapling
erebus:leaves_eucalyptus, Eucalyptus Leaves
erebus:stairs_eucalyptus, Eucalyptus Stairs
erebus:slab_planks_eucalyptus, Eucalyptus Slab
erebus:door_eucalyptus, Eucalyptus Door
erebus:fence_eucalyptus, Eucalyptus Fence
erebus:fence_gate_eucalyptus, Eucalyptus Fence Gate
erebus:log_mahogany, Mahogany Wood
erebus:sapling_mahogany, Mahogany Sapling
erebus:leaves_mahogany, Mahogany Leaves
erebus:stairs_mahogany, Mahogany Stairs
erebus:slab_planks_mahogany, Mahogany Slab
erebus:door_mahogany, Mahogany Door
erebus:fence_mahogany, Mahogany Fence
erebus:fence_gate_mahogany, Mahogany Fence Gate
erebus:log_mossbark, Mossbark Wood
erebus:sapling_mossbark, Mossbark Sapling
erebus:leaves_mossbark, Mossbark Leaves
erebus:stairs_mossbark, Mossbark Stairs
erebus:slab_planks_mossbark, Mossbark Slab
erebus:door_mossbark, Mossbark Door
erebus:fence_mossbark, Mossbark Fence
erebus:fence_gate_mossbark, Mossbark Fence Gate
erebus:log_asper, Asper Wood
erebus:sapling_asper, Asper Sapling
erebus:leaves_asper, Asper Leaves
erebus:stairs_asper, Asper Stairs
erebus:slab_planks_asper, Asper Slab
erebus:door_asper, Asper Door
erebus:fence_asper, Asper Fence
erebus:fence_gate_asper, Asper Fence Gate
erebus:log_cypress, Cypress Wood
erebus:sapling_cypress, Cypress Sapling
erebus:leaves_cypress, Cypress Leaves
erebus:stairs_cypress, Cypress Stairs
erebus:slab_planks_cypress, Cypress Slab
erebus:door_cypress, Cypress Door
erebus:fence_cypress, Cypress Fence
erebus:fence_gate_cypress, Cypress Fence Gate
erebus:log_balsam, Balsam Wood
erebus:sapling_balsam, Balsam Sapling
erebus:leaves_balsam, Balsam Leaves
erebus:stairs_balsam, Balsam Stairs
erebus:slab_planks_balsam, Balsam Slab
erebus:fence_balsam, Balsam Fence
erebus:fence_gate_balsam, Balsam Fence Gate
erebus:stairs_white, White Stairs
erebus:slab_planks_white, White Slab
erebus:fence_white, White Fence
erebus:fence_gate_white, White Fence Gate
erebus:log_bamboo, Bamboo
erebus:sapling_bamboo, Bamboo Shoot
erebus:stairs_bamboo, Bamboo Stairs
erebus:slab_planks_bamboo, Bamboo Slab
erebus:fence_bamboo, Bamboo Fence
erebus:fence_gate_bamboo, Bamboo Fence Gate
erebus:log_rotten, Rotten Wood
erebus:stairs_rotten, Rotten Stairs
erebus:slab_planks_rotten, Rotten Slab
erebus:door_rotten, Rotten Door
erebus:fence_rotten, Rotten Fence
erebus:fence_gate_rotten, Rotten Fence Gate
erebus:log_marshwood, Marshwood Wood
erebus:sapling_marshwood, Marshwood Sapling
erebus:leaves_marshwood, Marshwood Leaves
erebus:stairs_marshwood, Marshwood Stairs
erebus:slab_planks_marshwood, Marshwood Slab
erebus:door_marshwood, Marshwood Door
erebus:fence_marshwood, Marshwood Fence
erebus:fence_gate_marshwood, Marshwood Fence Gate
erebus:log_scorched, Scorched Wood
erebus:stairs_scorched, Scorched Stairs
erebus:slab_planks_scorched, Scorched Slab
erebus:door_scorched, Scorched Door
erebus:fence_scorched, Scorched Fence
erebus:fence_gate_scorched, Scorched Fence Gate
erebus:stairs_varnished, Varnished Stairs
erebus:slab_planks_varnished, Varnished Slab
erebus:fence_varnished, Varnished Fence
erebus:fence_gate_varnished, Varnished Fence Gate
erebus:erebus_food:0, Beetle Larva
erebus:erebus_food:1, Cooked Beetle Larva
erebus:erebus_food:2, Grasshopper Leg
erebus:erebus_food:3, Cooked Grasshopper Leg
erebus:erebus_food:4, Tarantula Leg
erebus:erebus_food:5, Crispy Tarantula Leg
erebus:erebus_food:6, Bamboo Soup
erebus:erebus_food:7, Melonade
erebus:erebus_food:8, Sparkly Melonade
erebus:erebus_food:9, Larvae-on-a-Stick
erebus:erebus_food:10, Honey Sandwich
erebus:erebus_food:11, Dark Fruit
erebus:erebus_food:12, Raw Titan Chop
erebus:erebus_food:13, Cooked Titan Chop
erebus:erebus_food:14, Swampberries
erebus:erebus_food:15, Cabbage
erebus:erebus_food:16, Cooked Titan Stew
erebus:erebus_food:17, Raw Prickly Pear
erebus:erebus_food:18, Cooked Prickly Pear
erebus:erebus_food:19, Dark Fruit Pie
erebus:heart_berries, Heartberries
erebus:life_blood, Life Blood
erebus:turnip, Turnips
erebus:cabbage_seeds, Cabbage Seeds
erebus:mandrake_root, Mandrake Root
erebus:stag_heart_raw, Heart of the Stag
erebus:stag_heart_cooked, Roasted Heart of the Stag
erebus:smoothie:0, Green Tea Grasshopper Smoothie
erebus:smoothie:1, Money Honey Smoothie
erebus:smoothie:2, Nothing In The Middle Smoothie
erebus:smoothie:3, Green Giant Smoothie
erebus:smoothie:4, Seedy Goodness Smoothie
erebus:smoothie:5, Givin' Me The Blues Smoothie
erebus:smoothie:6, Hot Hot Baby Smoothie
erebus:smoothie:7, Don't Meddle With The Nettle Smoothie
erebus:smoothie:8, Liquid Gold Smoothie
erebus:smoothie:9, Bryuf's Brew Smoothie
erebus:idols:0, Mud Scarab
erebus:idols:1, Iron Scarab
erebus:idols:2, Gold Scarab
erebus:idols:3, Jade Scarab
erebus:idols:4, Spawn Mud Umbergolem
erebus:idols:5, Spawn Iron Umbergolem
erebus:idols:6, Spawn Gold Umbergolem
erebus:idols:7, Spawn Jade Umbergolem
erebus:jade_helmet, Jade Helmet
erebus:jade_chestplate, Jade Chestplate
erebus:jade_leggings, Jade Leggings
erebus:jade_boots, Jade Boots
erebus:jade_sword, Jade Sword
erebus:jade_pickaxe, Jade Pickaxe
erebus:jade_axe, Jade Axe
erebus:jade_shovel, Jade Shovel
erebus:jade_paxel, Jade Paxel
erebus:jade_hoe, Jade Hoe
erebus:exoskeleton_helmet, Exoskeleton Helmet
erebus:exoskeleton_chestplate, Exoskeleton Chestplate
erebus:exoskeleton_leggings, Exoskeleton Leggings
erebus:exoskeleton_boots, Exoskeleton Boots
erebus:rein_exoskeleton_helmet, Reinforced Exoskeleton Helmet
erebus:rein_exoskeleton_chestplate, Reinforced Exoskeleton Chestplate
erebus:rein_exoskeleton_leggings, Reinforced Exoskeleton Leggings
erebus:rein_exoskeleton_boots, Reinforced Exoskeleton Boots
erebus:rhino_exoskeleton_helmet, Rhino Plate Helmet
erebus:rhino_exoskeleton_chestplate, Rhino Plate Chestplate
erebus:rhino_exoskeleton_leggings, Rhino Plate Leggings
erebus:rhino_exoskeleton_boots, Rhino Plate Boots
erebus:bamboo_helmet, Bamboo Helmet
erebus:bamboo_chestplate, Bamboo Chestplate
erebus:bamboo_leggings, Bamboo Leggings
erebus:bamboo_boots, Bamboo Boots
erebus:bambucket, Bambucket
erebus:rein_compound_goggles, Reinforced Compound Goggles
erebus:compound_goggles, Compound Goggles
erebus:sprint_leggings, Sprint Leggings
erebus:jump_boots, Jump Boots
erebus:glider_chestplate, Glider Chestplate
erebus:glider_chestplate_powered, Powered Glider Chestplate
erebus:mushroom_helmet, Mush Helm
erebus:spider_t_shirt, Tarantula Boss Trophy
erebus:water_striders, Water Striders
erebus:bamboo_shield, Bamboo Shield
erebus:exoskeleton_shield, Exoskeleton Shield
erebus:jade_shield, Jade Shield
erebus:rein_exoskeleton_shield, Reinforced Exoskeleton Shield
erebus:rhino_exoskeleton_shield, Rhino Plate Shield
erebus:rolled_newspaper, Rolled up Newspaper
erebus:wasp_sword, Wasp Sword
erebus:wasp_dagger, Wasp Dagger
erebus:enhanced_scorpion_pincer, Augmented Scorpion Pincer
erebus:war_hammer, Quake Hammer
erebus:web_slinger, Web Slinger
erebus:web_slinger_wither, Wither Web Slinger
erebus:max_speed_bow, Maximum Speed Bow
erebus:nectar_collector, Nectar Collector
erebus:ant_taming_amulet, Ant Taming Amulet
erebus:bee_taming_amulet, Bee Taming Amulet
erebus:woodlouse_ball, Woodlouse Ball
erebus:wand_of_animation, Wand of Animation
erebus:anti_venom_bottle, Bottle of Anti-Venom
erebus:flower_seed:0, Black Flower Seeds
erebus:flower_seed:1, Red Flower Seeds
erebus:flower_seed:2, Brown Flower Seeds
erebus:flower_seed:3, Blue Flower Seeds
erebus:flower_seed:4, Purple Flower Seeds
erebus:flower_seed:5, Cyan Flower Seeds
erebus:flower_seed:6, Light Gray Flower Seeds
erebus:flower_seed:7, Gray Flower Seeds
erebus:flower_seed:8, Pink Flower Seeds
erebus:flower_seed:9, Yellow Flower Seeds
erebus:flower_seed:10, Light Blue Flower Seeds
erebus:flower_seed:11, Magenta Flower Seeds
erebus:flower_seed:12, Orange Flower Seeds
erebus:flower_seed:13, White Flower Seeds
erebus:flower_seed:14, Rainbow Flower Seeds
erebus:death_compass, Death Compass
erebus:spray_can, Insect Repellent
erebus:whetstone:0, Whetstone
erebus:whetstone:1, Whetstone
erebus:whetstone:2, Whetstone
erebus:whetstone:3, Whetstone
erebus:whetstone:4, Whetstone
erebus:whetstone:5, Whetstone
erebus:portal_activator, Staff of Gaea
erebus:homing_beecon, Homing Beecon
erebus:homing_beecon_advanced, Advanced Homing Beecon
erebus:wand_of_preservation, Wand of Preservation
erebus:compost, Compost
erebus:planticide, Planticide
erebus:smoothie_book, Smoothie-matic 2000
erebus:horn_of_summoning, Horn of Bee Summoning
erebus:erebus_map, Empty Papyrus Map (N.Y.I)
erebus:erebus_map_filled:0, Papyrus Map (N.Y.I)
extendedcrafting:storage:0, Block of Black Iron
extendedcrafting:storage:1, Block of Luminessence
extendedcrafting:storage:2, Block of Nether Stars
extendedcrafting:storage:3, Block of Crystaltine
extendedcrafting:storage:4, Block of The Ultimate
extendedcrafting:storage:5, Block of Ender
extendedcrafting:storage:6, Block of Ender Stars
extendedcrafting:storage:7, Block of Enhanced Ender
extendedcrafting:frame, Black Iron Frame
extendedcrafting:lamp:0, Black Iron Lamp
extendedcrafting:lamp:1, Black Iron Lamp
extendedcrafting:trimmed:0, Block of Black Iron
extendedcrafting:trimmed:1, Block of Black Iron
extendedcrafting:trimmed:2, Block of Black Iron
extendedcrafting:trimmed:3, Block of Black Iron
extendedcrafting:trimmed:4, Block of Black Iron
extendedcrafting:trimmed:5, Block of Black Iron
extendedcrafting:crafting_table, Crafting Table
extendedcrafting:pedestal, Pedestal
extendedcrafting:crafting_core, Crafting Core
extendedcrafting:interface, Automation Interface
extendedcrafting:table_basic, Basic Crafting Table
extendedcrafting:table_advanced, Advanced Crafting Table
extendedcrafting:table_elite, Elite Crafting Table
extendedcrafting:table_ultimate, Ultimate Crafting Table
extendedcrafting:compressor, Quantum Compressor
extendedcrafting:ender_alternator, Ender Alternator
extendedcrafting:ender_crafter, Ender Crafter
extendedcrafting:guide, Extended Crafting Guide
extendedcrafting:material:0, Black Iron Ingot
extendedcrafting:material:1, Black Iron Nugget
extendedcrafting:material:2, Black Iron Slate
extendedcrafting:material:3, Black Iron Rod
extendedcrafting:material:7, Luminessence
extendedcrafting:material:8, Basic Catalyst
extendedcrafting:material:9, Advanced Catalyst
extendedcrafting:material:10, Elite Catalyst
extendedcrafting:material:11, Ultimate Catalyst
extendedcrafting:material:12, Crystaltine Catalyst
extendedcrafting:material:13, The Ultimate Catalyst
extendedcrafting:material:14, Basic Component
extendedcrafting:material:15, Advanced Component
extendedcrafting:material:16, Elite Component
extendedcrafting:material:17, Ultimate Component
extendedcrafting:material:18, Crystaltine Component
extendedcrafting:material:19, The Ultimate Component
extendedcrafting:material:24, Crystaltine Ingot
extendedcrafting:material:25, Crystaltine Nugget
extendedcrafting:material:32, The Ultimate Ingot
extendedcrafting:material:33, The Ultimate Nugget
extendedcrafting:material:36, Ender Ingot
extendedcrafting:material:37, Ender Nugget
extendedcrafting:material:40, Ender Star
extendedcrafting:material:41, Ender Star Nugget
extendedcrafting:material:48, Enhanced Ender Ingot
extendedcrafting:material:49, Enhanced Ender Nugget
extendedcrafting:material:128, Diamond Nugget
extendedcrafting:material:129, Emerald Nugget
extendedcrafting:material:140, Nether Star Nugget
extendedcrafting:handheld_table, Handheld Crafting Table
extendedcrafting:recipe_maker:0, Recipe Maker
extendedcrafting:singularity:0, Coal Singularity
extendedcrafting:singularity:1, Iron Singularity
extendedcrafting:singularity:2, Lapis Lazuli Singularity
extendedcrafting:singularity:3, Redstone Singularity
extendedcrafting:singularity:4, Glowstone Singularity
extendedcrafting:singularity:5, Gold Singularity
extendedcrafting:singularity:6, Diamond Singularity
extendedcrafting:singularity:7, Emerald Singularity
extendedcrafting:singularity:16, Aluminum Singularity
extendedcrafting:singularity:17, Copper Singularity
extendedcrafting:singularity:18, Tin Singularity
extendedcrafting:singularity:19, Bronze Singularity
extendedcrafting:singularity:20, Zinc Singularity
extendedcrafting:singularity:21, Brass Singularity
extendedcrafting:singularity:22, Silver Singularity
extendedcrafting:singularity:23, Lead Singularity
extendedcrafting:singularity:24, Steel Singularity
extendedcrafting:singularity:25, Nickel Singularity
extendedcrafting:singularity:26, Constantan Singularity
extendedcrafting:singularity:27, Electrum Singularity
extendedcrafting:singularity:28, Invar Singularity
extendedcrafting:singularity:29, Mithril Singularity
extendedcrafting:singularity:30, Tungsten Singularity
extendedcrafting:singularity:31, Titanium Singularity
extendedcrafting:singularity:32, Uranium Singularity
extendedcrafting:singularity:33, Chrome Singularity
extendedcrafting:singularity:34, Platinum Singularity
extendedcrafting:singularity:35, Iridium Singularity
extendedcrafting:singularity:48, Signalum Singularity
extendedcrafting:singularity:49, Lumium Singularity
extendedcrafting:singularity:50, Enderium Singularity
extendedcrafting:singularity:64, Ardite Singularity
extendedcrafting:singularity:65, Cobalt Singularity
extendedcrafting:singularity:66, Manyullyn Singularity
extendedcrafting:singularity_ultimate, The Ultimate Singularity
twilightforest:naga_scale, Naga Scale
twilightforest:naga_chestplate, Naga Scale Tunic
twilightforest:naga_leggings, Naga Scale Leggings
twilightforest:twilight_scepter, Scepter of Twilight
twilightforest:lifedrain_scepter, Scepter of Life Draining
twilightforest:zombie_scepter, Zombie Scepter
twilightforest:shield_scepter, Scepter of Fortification
twilightforest:ore_meter, Ore Meter [WIP]
twilightforest:magic_map:0, Magic Map
twilightforest:maze_map:0, Maze Map
twilightforest:ore_map:0, Maze/Ore Map
twilightforest:raven_feather, Raven Feather
twilightforest:magic_map_focus, Magic Map Focus
twilightforest:maze_map_focus, Maze Map Focus
twilightforest:liveroot, Liveroot
twilightforest:ironwood_raw, Raw Ironwood Materials
twilightforest:ironwood_ingot, Ironwood Ingot
twilightforest:ironwood_helmet, Ironwood Helm
twilightforest:ironwood_chestplate, Ironwood Plate
twilightforest:ironwood_leggings, Ironwood Legs
twilightforest:ironwood_boots, Ironwood Boots
twilightforest:ironwood_sword, Ironwood Sword
twilightforest:ironwood_shovel, Ironwood Shovel
twilightforest:ironwood_pickaxe, Ironwood Pick
twilightforest:ironwood_axe, Ironwood Axe
twilightforest:ironwood_hoe, Ironwood Hoe
twilightforest:torchberries, Torchberries
twilightforest:raw_venison, Raw Venison
twilightforest:cooked_venison, Venison Steak
twilightforest:hydra_chop, Hydra Chop
twilightforest:fiery_blood, Fiery Blood
twilightforest:trophy:0, Naga Trophy
twilightforest:trophy:1, Twilight Lich Trophy
twilightforest:trophy:2, Hydra Trophy
twilightforest:trophy:3, Ur-Ghast Trophy
twilightforest:trophy:4, Knight Phantom Trophy
twilightforest:trophy:5, Snow Queen Trophy
twilightforest:trophy:6, Minoshroom Trophy
twilightforest:trophy:8, Questing Ram Trophy
twilightforest:fiery_ingot, Fiery Ingot
twilightforest:fiery_helmet, Fiery Helm
twilightforest:fiery_chestplate, Fiery Plate
twilightforest:fiery_leggings, Fiery Legs
twilightforest:fiery_boots, Fiery Boots
twilightforest:fiery_sword, Fiery Sword
twilightforest:fiery_pickaxe, Fiery Pick
twilightforest:steeleaf_ingot, Steeleaf
twilightforest:steeleaf_helmet, Steeleaf Helm
twilightforest:steeleaf_chestplate, Steeleaf Plate
twilightforest:steeleaf_leggings, Steeleaf Legs
twilightforest:steeleaf_boots, Steeleaf Boots
twilightforest:steeleaf_sword, Steeleaf Sword
twilightforest:steeleaf_shovel, Steeleaf Shovel
twilightforest:steeleaf_pickaxe, Steeleaf Pick
twilightforest:steeleaf_axe, Steeleaf Axe
twilightforest:steeleaf_hoe, Steeleaf Hoe
twilightforest:minotaur_axe, Minotaur Axe
twilightforest:mazebreaker_pickaxe, Mazebreaker
twilightforest:transformation_powder, Transformation Powder
twilightforest:raw_meef, Raw Meef
twilightforest:cooked_meef, Meef Steak
twilightforest:meef_stroganoff, Meef Stroganoff
twilightforest:maze_wafer, Maze Wafer
twilightforest:magic_map_empty, Blank Magic Map
twilightforest:maze_map_empty, Blank Maze Map
twilightforest:ore_map_empty, Blank Maze/Ore Map
twilightforest:ore_magnet, Ore Magnet
twilightforest:crumble_horn, Crumble Horn
twilightforest:peacock_fan, Peacock Feather Fan
twilightforest:moonworm_queen, Moonworm Queen
twilightforest:charm_of_life_1, Charm of Life I
twilightforest:charm_of_life_2, Charm of Life II
twilightforest:charm_of_keeping_1, Charm of Keeping I
twilightforest:charm_of_keeping_2, Charm of Keeping II
twilightforest:charm_of_keeping_3, Charm of Keeping III
twilightforest:tower_key, Tower Key
twilightforest:borer_essence, Borer Essence
twilightforest:carminite, Carminite
twilightforest:experiment_115, Experiment 115
twilightforest:armor_shard, Armor Shard
twilightforest:knightmetal_ingot, Knightmetal Ingot
twilightforest:armor_shard_cluster, Armor Shard Cluster
twilightforest:knightmetal_helmet, Knightly Helm
twilightforest:knightmetal_chestplate, Knightly Plate
twilightforest:knightmetal_leggings, Knightly Greaves
twilightforest:knightmetal_boots, Knightly Boots
twilightforest:knightmetal_sword, Knightly Sword
